Title,Authors,Year,Venue,ArXiv_or_DOI,Primary_Reason_Excluded,Verification_Provider,Verification_URL,Provenance
Agentic Reasoning for Large Language Models,"Tianxin Wei, Ting-Wei Li, Zhining Liu, Xuying Ning, Ze Yang, Jiaru Zou, Zhichen Zeng, Ruizhong Qiu, Xiao Lin, Dongqi Fu, Zihao Li, Mengting Ai, Duo Zhou, Wenxuan Bao, Yunzhe Li, Gaotang Li, Cheng Qian, Yu Wang, Xiangru Tang, Yin Xiao, Liri Fang, Hui Liu, Xianfeng Tang, Yuji Zhang, Chi Wang, Jiaxuan You, Heng Ji, Hanghang Tong, Jingrui He",2026,ArXiv,arXiv:2601.12538v1,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2601.12538v1,papers.csv|pdf_ref|targeted_search
A Unified Framework for Rethinking Policy Divergence Measures in GRPO,"Qingyuan Wu, Yuhui Wang, Simon Sinong Zhan, Yanning Dai, Shilong Deng, Sarra Habchi, Qi Zhu, Matthias Gallé, Chao Huang",2026,ArXiv,arXiv:2602.05494v2,"Primary scope leak markers detected: GRPO, ImproveLLMReasoning",arxiv,https://arxiv.org/abs/2602.05494v2,targeted_search
AdaReasoner: Dynamic Tool Orchestration for Iterative Visual Reasoning,"Mingyang Song, Haoyu Sun, Jiawei Gu, Linjie Li, Luxin Xu, Ranjay Krishna, Yu Cheng",2026,ArXiv,arXiv:2601.18631v2,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2601.18631v2,targeted_search
ADEPT: RL-Aligned Agentic Decoding of Emotion via Evidence Probing Tools -- From Consensus Learning to Ambiguity-Driven Emotion Reasoning,"Esther Sun, Bo-Hao Su, Abinay Reddy Naini, Shinji Watanabe, Carlos Busso",2026,ArXiv,arXiv:2602.12714v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.12714v1,targeted_search
Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents,"Yi Yu, Liuyi Yao, Yuexiang Xie, Qingquan Tan, Jiaqi Feng, Yaliang Li, Libing Wu",2026,ArXiv,arXiv:2601.01885v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2601.01885v1,papers.csv|pdf_ref|targeted_search
Alignment-Induced Flattening in Large Language Models: A 33-Item Reading Comprehension Measure of Atypical Perspective-Taking Across Five Model Families,Shamim Khaliq,2026,Unknown venue,10.21203/rs.3.rs-8879713/v1,"Primary scope leak markers detected: RLHF, Alignment",openalex,https://openalex.org/W7129201286,papers.csv|pdf_ref|targeted_search
ALIVE: Awakening LLM Reasoning via Adversarial Learning and Instructive Verbal Evaluation,"Yiwen Duan, Jing Ye, Xinpei Zhao",2026,ArXiv,arXiv:2602.05472v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.05472v1,targeted_search
Amortized Reasoning Tree Search: Decoupling Proposal and Decision in Large Language Models,"Zesheng Hong, Jiadong Yu, Hui Pan",2026,ArXiv,arXiv:2602.12846v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.12846v1,papers.csv|pdf_ref|targeted_search
"Answer First, Reason Later: Aligning Search Relevance via Mode-Balanced Reinforcement Learning","Shijie Zhang, Xiang Guo, Rujun Guo, Shaoyu Liu, Xiaozhao Wang, Guanjun Jiang, Kevin Zhang",2026,ArXiv,arXiv:2602.10006v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.10006v1,targeted_search
Approximation of Log-Partition Function in Policy Mirror Descent Induces Implicit Regularization for LLM Post-Training,"Zhenghao Xu, Qin Lu, Changlong Yu, Tuo Zhao",2026,ArXiv,arXiv:2602.05933v1,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2602.05933v1,targeted_search
Asymmetric Prompt Weighting for Reinforcement Learning with Verifiable Rewards,"Reinhard Heckel, Mahdi Soltanolkotabi, Christos Thramboulidis",2026,ArXiv,arXiv:2602.11128v1,"Primary scope leak markers detected: GRPO, PostTraining",arxiv,https://arxiv.org/abs/2602.11128v1,targeted_search
Back to Basics: Revisiting Exploration in Reinforcement Learning for LLM Reasoning via Generative Probabilities,"Pengyi Li, Elizaveta Goncharova, Andrey Kuznetsov, Ivan Oseledets",2026,ArXiv,arXiv:2602.05281v2,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.05281v2,papers.csv|targeted_search
Balancing Faithfulness and Performance in Reasoning via Multi-Listener Soft Execution,"Nithin Sivakumaran, Shoubin Yu, Hyunji Lee, Yue Zhang, Ali Payani, Mohit Bansal, Elias Stengel-Eskin",2026,ArXiv,arXiv:2602.16154v1,Primary scope leak markers detected: ImproveLLMReasoning,arxiv,https://arxiv.org/abs/2602.16154v1,targeted_search
Bayesian Preference Learning for Test-Time Steerable Reward Models,"Jiwoo Hong, Shao Tang, Zhipeng Wang",2026,ArXiv,arXiv:2602.08819v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.08819v1,targeted_search
Beyond SMILES: Evaluating Agentic Systems for Drug Discovery,Edward Wijaya,2026,ArXiv,arXiv:2602.10163v1,Primary scope leak markers detected: PPO_for_LLM,arxiv,https://arxiv.org/abs/2602.10163v1,targeted_search
Beyond Variance: Prompt-Efficient RLVR via Rare-Event Amplification and Bidirectional Pairing,"Xin Sheng, Jiaxin Li, Yujuan Pang, Ran Peng, Yong Ma",2026,ArXiv,arXiv:2602.03452v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.03452v1,targeted_search
Bridging Online and Offline RL: Contextual Bandit Learning for Multi-Turn Code Generation,"Ziru Chen, Dongdong Chen, Ruinan Jin, Yingbin Liang, Yujia Xie, Huan Sun",2026,ArXiv,arXiv:2602.03806v1,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.03806v1,targeted_search
Bridging Online and Offline RL: Contextual Bandit Learning for Multi-Turn Code Generation,"Ziru Chen, Dongdong Chen, Ruinan Jin, Yingbin Liang, Yujia Xie, Huan Sun",2026,arXiv (Cornell University),arXiv:2602.03806,Primary scope leak markers detected: GRPO,arxiv,https://arxiv.org/abs/2602.03806,targeted_search
Capability-Oriented Training Induced Alignment Risk,"Yujun Zhou, Yue Huang, Han Bao, Kehan Guo, Zhenwen Liang, Pin-Yu Chen, Tian Gao, Werner Geyer, Nuno Moniz, Nitesh V Chawla, Xiangliang Zhang",2026,ArXiv,arXiv:2602.12124v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.12124v1,targeted_search
Chatting with Images for Introspective Visual Thinking,"Junfei Wu, Jian Guan, Qiang Liu, Shu Wu, Liang Wang, Wei Wu, Tieniu Tan",2026,ArXiv,arXiv:2602.11073v2,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.11073v2,targeted_search
CoBA-RL: Capability-Oriented Budget Allocation for Reinforcement Learning in LLMs,"Zhiyuan Yao, Yi-Kai Zhang, Yuxin Chen, Yueqing Sun, Zishan Xu, Yu Yang, Tianhao Hu, Qi Gu, Hui Su, Xunliang Cai",2026,ArXiv,arXiv:2602.03048v3,"Primary scope leak markers detected: GRPO, PostTraining",arxiv,https://arxiv.org/abs/2602.03048v3,targeted_search
compar:IA: The French Government's LLM arena to collect French-language human prompts and preference data,"Lucie Termignon, Simonas Zilinskas, Hadrien Pélissier, Aurélien Barrot, Nicolas Chesnais, Elie Gavoty",2026,ArXiv.org,arXiv:2602.06669,"Primary scope leak markers detected: RLHF, DPO, PreferenceOptimization, Alignment",arxiv,https://arxiv.org/abs/2602.06669,targeted_search
Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via Gradient Concentration,"Yang Zhao, Yangou Ouyang, Xiao Ding, Hepeng Wang, Bibo Cai, Kai Xiong, Jinglong Gao, Zhouhao Sun, Li Du, Bing Qin, Ting Liu",2026,ArXiv,arXiv:2601.07224v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2601.07224v1,targeted_search
Constraint-Rectified Training for Efficient Chain-of-Thought,"Qinhang Wu, Sen Lin, Ming Zhang, Yingbin Liang, Ness B. Shroff",2026,ArXiv,arXiv:2602.12526v1,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2602.12526v1,targeted_search
Contextual Rollout Bandits for Reinforcement Learning with Verifiable Rewards,"Xiaodong Lu, Xiaohan Wang, Jiajun Chai, Guojun Yin, Wei Lin, Zhijun Chen, Yu Luo, Fuzhen Zhuang, Yikun Ban, Deqing Wang",2026,ArXiv,arXiv:2602.08499v1,Primary scope leak markers detected: ImproveLLMReasoning,arxiv,https://arxiv.org/abs/2602.08499v1,targeted_search
CRL-VLA: Continual Vision-Language-Action Learning,"Qixin Zeng, Shuo Zhang, Hongyin Zhang, Renjie Wang, Han Zhao, Libang Zhao, Runze Li, Donglin Wang, Chao Huang",2026,ArXiv,arXiv:2602.03445v1,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2602.03445v1,targeted_search
D-ORCA: Dialogue-Centric Optimization for Robust Audio-Visual Captioning,"Changli Tang, Tianyi Wang, Fengyun Rao, Jing Lyu, Chao Zhang",2026,ArXiv,arXiv:2602.07960v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.07960v1,targeted_search
daVinci-Dev: Agent-native Mid-training for Software Engineering,"Ji Zeng, Dayuan Fu, Tiantian Mi, Yumin Zhuang, Yaxing Huang, Xuefeng Li, Lyumanshan Ye, Muhang Xie, Qishuo Hua, Zhen Huang, Mohan Jiang, Hanning Wang, Jifan Lin, Yang Xiao, Jie Sun, Yunze Wu, Pengfei Liu",2026,arXiv (Cornell University),arXiv:2601.18418,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2601.18418,targeted_search
Decoupling Skeleton and Flesh: Efficient Multimodal Table Reasoning with Disentangled Alignment and Structure-aware Guidance,"Yingjie Zhu, Xuefeng Bai, Kehai Chen, Yang Xiang, Youcheng Pan, Xiaoqiang Zhou, Min Zhang",2026,ArXiv,arXiv:2602.03491v1,Primary scope leak markers detected: Alignment,arxiv,https://arxiv.org/abs/2602.03491v1,targeted_search
Deep Dense Exploration for LLM Reinforcement Learning via Pivot-Driven Resampling,"Yiran Guo, Zhongjian Qiao, Yingqi Xie, Jie Liu, Dan Ye, Ruiqing Zhang, Shuang Qiu, Lijie Xu",2026,ArXiv,arXiv:2602.14169v1,"Primary scope leak markers detected: GRPO, ImproveLLMReasoning",arxiv,https://arxiv.org/abs/2602.14169v1,papers.csv|targeted_search
DFPO: Scaling Value Modeling via Distributional Flow towards Robust and Generalizable LLM Post-Training,"Dingwei Zhu, Zhiheng Xi, Shihan Dou, Jiahan Li, Chenhao Huang, Junjie Ye, Sixian Li, Mingxu Chai, Yuhui Wang, Yajie Yang, Ming Zhang, Jiazheng Zhang, Shichun Liu, Caishuang Huang, Yunke Zhang, Yuran Wang, Tao Gui, Xipeng Qiu, Qi Zhang, Xuanjing Huang",2026,ArXiv,arXiv:2602.05890v1,Primary scope leak markers detected: PostTraining,arxiv,https://arxiv.org/abs/2602.05890v1,targeted_search
