RefNo,Title,Authors,Year,Venue,ArXiv_or_DOI,RawText
87,History Compression via Language Models in Reinforcement Learning,"F. Paischer, T. Adler, V. Patil, A. Bitto-Nemling, M. Holzleitner, S. Lehner, H. Eghbal-zadeh, and S. Hochreiter",2023,,,"F. Paischer, T. Adler, V. Patil, A. Bitto-Nemling, M. Holzleitner, S. Lehner, H. Eghbal-zadeh, and S. Hochreiter, “History Compression via Language Models in Reinforcement Learning,” Feb. 2023."
94,Starling: Self-supervised training of text-based reinforcement learning agent with large language models,"S. Basavatia, K. Murugesan, and S. Ratnakar",2024,ArXiv,2406.05872,"S. Basavatia, K. Murugesan, and S. Ratnakar, “Starling: Self-supervised training of text-based reinforcement learning agent with large language models,” arXiv preprint arXiv:2406.05872, 2024."
99,Informing reinforcement learning agents by grounding language to markov decision processes,"B. A. Spiegel, Z. Yang, W. Jurayj, B. Bachmann, S. Tellex, and G. Konidaris",2024,Workshop on Training Agents with Foundation Models at RLC 2024,,"B. A. Spiegel, Z. Yang, W. Jurayj, B. Bachmann, S. Tellex, and G. Konidaris, “Informing reinforcement learning agents by grounding language to markov decision processes,” in Workshop on Training Agents with Foundation Models at RLC 2024, 2024. [Online]. Available: https://openreview.net/forum?id=uFm9e4Ly26"
107,Reward Design with Language Models,"M. Kwon, S. M. Xie, K. Bullard, and D. Sadigh",2022,"The Eleventh International Conference on Learning Representations, Sep. 2022",,"M. Kwon, S. M. Xie, K. Bullard, and D. Sadigh, “Reward Design with Language Models,” in The Eleventh International Conference on Learning Representations, Sep. 2022."
109,Accelerating Reinforcement Learning of Robotic Manipulations via Feedback from Large Language Models,"K. Chu, X. Zhao, C. Weber, M. Li, and S. Wermter",2023,,,"K. Chu, X. Zhao, C. Weber, M. Li, and S. Wermter, “Accelerating Reinforcement Learning of Robotic Manipulations via Feedback from Large Language Models,” Nov. 2023."
116,Rl-vlm-f: Reinforcement learning from vision language foundation model feedback,"Y. Wang, Z. Sun, J. Zhang, Z. Xian, E. Biyik, D. Held, and Z. Erickson",2024,ArXiv,2402.03681,"Y. Wang, Z. Sun, J. Zhang, Z. Xian, E. Biyik, D. Held, and Z. Erickson, “Rl-vlm-f: Reinforcement learning from vision language foundation model feedback,” 2024. [Online]. Available: https://arxiv.org/abs/2402.03681"
119,Self-Refined Large Language Model as Automated Reward Function Designer for Deep Reinforcement Learning in Robotics,"J. Song, Z. Zhou, J. Liu, C. Fang, Z. Shu, and L. Ma",2023,,,"J. Song, Z. Zhou, J. Liu, C. Fang, Z. Shu, and L. Ma, “Self-Refined Large Language Model as Automated Reward Function Designer for Deep Reinforcement Learning in Robotics,” Oct. 2023."
129,Pre-trained language models for interactive decisionmaking,"S. Li, X. Puig, C. Paxton, Y. Du, C. Wang, L. Fan, T. Chen, D.-A. Huang et al.",2022,Advances in Neural Information Processing Systems,,"S. Li, X. Puig, C. Paxton, Y. Du, C. Wang, L. Fan, T. Chen, D.-A. Huang et al., “Pre-trained language models for interactive decisionmaking,” Advances in Neural Information Processing Systems, vol. 35, pp. 31 199–31 212, 2022."
130,Unleashing the power of pre-trained language models for offline reinforcement learning,"R. Shi, Y. Liu, Y. Ze, S. S. Du, and H. Xu",2023,ArXiv,2310.20587,"R. Shi, Y. Liu, Y. Ze, S. S. Du, and H. Xu, “Unleashing the power of pre-trained language models for offline reinforcement learning,” arXiv preprint arXiv:2310.20587, 2023."
132,Can Wikipedia Help Offline Reinforcement Learning?,"M. Reid, Y. Yamada, and S. S. Gu",2022,,,"M. Reid, Y. Yamada, and S. S. Gu, “Can Wikipedia Help Offline Reinforcement Learning?” Jul. 2022."
139,Large language model is a good policy teacher for training reinforcement learning agents,"Z. Zhou, B. Hu, P. Zhang, C. Zhao, and B. Liu",2023,ArXiv,2311.13373,"Z. Zhou, B. Hu, P. Zhang, C. Zhao, and B. Liu, “Large language model is a good policy teacher for training reinforcement learning agents,” arXiv preprint arXiv:2311.13373, 2023."
159,LanGWM: Language Grounded World Model,"R. P. K. Poudel, H. Pandya, C. Zhang, and R. Cipolla",2023,,,"R. P. K. Poudel, H. Pandya, C. Zhang, and R. Cipolla, “LanGWM: Language Grounded World Model,” Nov. 2023."
162,Learning to model the world with language,"J. Lin, Y. Du, O. Watkins, D. Hafner, P. Abbeel, D. Klein, and A. Dragan",2023,ArXiv,2308.01399,"J. Lin, Y. Du, O. Watkins, D. Hafner, P. Abbeel, D. Klein, and A. Dragan, “Learning to model the world with language,” arXiv preprint arXiv:2308.01399, 2023."
167,Leveraging large language models for optimised coordination in textual multi-agent reinforcement learning,"O. Slumbers, D. H. Mguni, K. Shao, and J. Wang",2023,,,"O. Slumbers, D. H. Mguni, K. Shao, and J. Wang, “Leveraging large language models for optimised coordination in textual multi-agent reinforcement learning,” 2023."
