Raw_Title,Raw_ArXiv_or_DOI,Source,Issue,Notes
$\mathcal{X}$-KD: General Experiential Knowledge Distillation for Large Language Models,arXiv:2602.12674v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
$n$-Musketeers: Reinforcement Learning Shapes Collaboration Among Language Models,arXiv:2602.09173v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
"<b>REINFORCEMENT LEARNING: AN INTRODUCTION </b>by Richard S. Sutton and Andrew G. Barto, Adaptive Computation and Machine Learning series, MIT Press (Bradford Book), Cambridge, Mass., 1998, xviii + 322 pp, ISBN 0-262-19398-1, (hardback, £31.95).",10.1017/s0263574799211174,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Closer Look at Reward Decomposition for High-Level Robotic Explanations,10.1109/icdl55364.2023.10364407,pdf_ref,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
"A Comprehensive Survey of Continual Learning: Theory, Method and Application",10.1109/tpami.2024.3367329,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A comprehensive survey on safe reinforcement learning,,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Generalized Algorithm for Multi-Objective Reinforcement Learning and Policy Adaptation,arXiv:1908.08342,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Goal Without a Plan Is Just a Wish: Efficient and Effective Global Planner Training for Long-Horizon Agent Tasks,arXiv:2510.05608,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
A GPT‐4 Reticular Chemist for Guiding MOF Discovery**,10.1002/anie.202311983,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
"A little less conversation, a little more action, please: Investigating the physical common-sense of LLMs in a 3D embodied environment",arXiv:2410.23242v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
A new look at the statistical model identification,10.1109/tac.1974.1100705,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A review of large language models and autonomous agents in chemistry,10.1039/d4sc03921a,citation_expand,Irrelevant_or_unclear_scope,No clear RL-loop or control signal
A review on modeling of flexible deformable object for dexterous robotic manipulation,10.1177/1729881419848894,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
A roadmap for AI-driven protein design,10.5281/zenodo.18498884,targeted_search,Irrelevant_or_unclear_scope,Survey/review without direct RL-loop method contribution
A roadmap for AI-driven protein design,10.5281/zenodo.18498885,targeted_search,Irrelevant_or_unclear_scope,Survey/review without direct RL-loop method contribution
A Sober Look at Progress in Language Model Reasoning: Pitfalls and Paths to Reproducibility,arXiv:2504.07086v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence that LLM improves RL loops
A Survey of End-to-End Driving: Architectures and Training Methods,10.1109/tnnls.2020.3043505,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
A Survey of Explainable Reinforcement Learning,arXiv:2202.08434,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
