Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey
Calibrate-Then-Act: Cost-Aware Exploration in LLM Agents,"Wenxuan Ding, Nicholas Tomlin, Greg Durrett",2026,ArXiv,10.48550/arxiv.2602.16699,Policy|Exploration|Verifier|Architecture,"LLMs are increasingly being used for complex problems which are not necessarily resolved in a single response, but require interacting with an environment to acquire information. We introduce a framework called Calibrate-Then-Act (CTA), where we feed the LLM this additional context to enable it to act more optimally. This improvement is preserved even under RL training of both the baseline and CTA.","The paper places an language model policy inside an RL training or execution loop. This directly targets exploration efficiency, which fits an LLM-in-the-RL-loop survey scope."
HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents,"Jiangweizhi Peng, Yuanxin Liu, Ruida Zhou, Charles Fleming, Zhaoran Wang, Alfredo Garcia, Mingyi Hong",2026,ArXiv,10.48550/arxiv.2602.16165,Policy|Planning|Reward|CreditAssignment|Architecture|AgentTraining,"Training LLMs as interactive agents for multi-turn decision-making remains challenging, particularly in long-horizon tasks with sparse and delayed rewards, where agents must execute extended sequences of actions before receiving meaningful feedback. Most existing reinforcement learning (RL) approaches model LLM agents as flat policies operating at a single time scale, selecting one action at each turn. Empirically, HiPER achieves state-of-the-art performance on challenging interactive benchmarks, reaching 97.4\% success on ALFWorld and 83.3\% on WebShop with Qwen2.5-7B-Instruct (+6.6\% and +8.3\% over the best prior method), with especially large.","The paper places an LLM planner inside an RL training or execution loop. This directly targets credit assignment over long horizons, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
AReaL: A Large-Scale Asynchronous Reinforcement Learning System for Language Reasoning,"Wei Fu, Jiaxuan Gao, Xujie Shen, Chen Zhu, Zhiyu Mei, Chuyi He, Shusheng Xu, Guo Wei, Jun Mei, Jiashu Wang, Tongkai Yang, Binhang Yuan, Yi Wu",2025,ArXiv,10.48550/arxiv.2505.24298,Reasoning|Architecture,"Reinforcement learning (RL) has become a dominant paradigm for training large language models (LLMs), particularly for reasoning tasks. This approach stabilizes RL training but suffers from severe system-level inefficiency: generation must wait until the longest output in the batch is completed before model updates, resulting in GPU underutilization. This work studies AReaL: A Large-Scale Asynchronous Reinforcement Learning System for Language Reasoning in the context of reinforcement learning with language-enabled models.","The paper places an LLM inside an RL training or execution loop. This directly targets agent performance in sequential decision tasks, which fits an LLM-in-the-RL-loop survey scope."
Beyond the 80/20 Rule: High-Entropy Minority Tokens Drive Effective Reinforcement Learning for LLM Reasoning,"Shenzhi Wang, Le Yu, Chang Gao, Chujie Zheng, Shixuan Liu, Rui Lu, Kai Dang, Xionghui Chen, Jianxin Yang, Zhenru Zhang, Yuqiong Liu, An Yang, Andrew Zhao, Yang Yue, Shiji Song, Bowen Yu, Gao Huang, Junyang Lin",2025,ArXiv,10.48550/arxiv.2506.01939,Policy|Reward|Exploration|Reasoning|Verifier|Architecture,"Reinforcement Learning with Verifiable Rewards (RLVR) has emerged as a powerful approach to enhancing the reasoning capabilities of Large Language Models (LLMs), while its mechanisms are not yet well understood. We ultimately improve RLVR by restricting policy gradient updates to forking tokens and uncover a finding even beyond the 80/20 rule: utilizing only 20% of the tokens while maintaining performance comparable to full-gradient updates on the Qwen3-8B. This work studies Beyond the 80/20 Rule: High-Entropy Minority Tokens Drive Effective Reinforcement Learning for LLM Reasoning in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Crossing the Reward Bridge: Expanding RL with Verifiable Rewards Across Diverse Domains,"Yi Su, Dian Yu, Linfeng Song, Juntao Li, Haitao Mi, Zhaopeng Tu, Min Zhang, Dong Yu",2025,ArXiv,10.48550/arxiv.2503.23829,Reward|Exploration|Reasoning|Verifier|Architecture,"We reveal that binary verification judgments on broad-domain tasks exhibit high consistency across various LLMs provided expert-written reference answers exist. Through comprehensive experiments, our RLVR framework establishes clear performance gains, significantly outperforming state-of-the-art open-source aligned models such as Qwen2.5-72B and DeepSeek-R1-Distill-Qwen-32B across domains in free-form. Reinforcement learning with verifiable rewards (RLVR) has demonstrated significant success in enhancing mathematical reasoning and coding performance of large language models (LLMs), especially when structured reference answers are accessible for.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
DAPO: An Open-Source LLM Reinforcement Learning System at Scale,"Qiying Yu, Zheng Zhang, Ruofei Zhu, Yufeng Yuan, Xiaochen Zuo, Yu Yue, Tiantian Fan, Gaohong Liu, Lingjun Liu, Xin Liu, Haibin Lin, Zhiqi Lin, Bole Ma, Guangming Sheng, Yuxuan Tong, Chi Zhang, Mofan Zhang, Wang Zhang, Hang Zhu, Jinhua Zhu, Jiaze Chen, Jiangjie Chen, Chengyi Wang, Honglin Yu, Weinan Dai, Yuxuan Song, Xiang Wei, Haodong Zhou, Jingjing Liu, Wei Ma, Ya-Qin Zhang, Lin Yan, Mu Qiao, Yong-Xu Wu, Mingxuan Wang",2025,ArXiv,10.48550/arxiv.2503.14476,DatasetGeneration|Reasoning|Architecture,"We propose the $\textbf{D}$ecoupled Clip and $\textbf{D}$ynamic s$\textbf{A}$mpling $\textbf{P}$olicy $\textbf{O}$ptimization ($\textbf{DAPO}$) algorithm, and fully open-source a state-of-the-art large-scale RL system that achieves 50 points on AIME. However, key technical details of state-of-the-art reasoning LLMs are concealed (such as in OpenAI o1 blog and DeepSeek R1 technical report), thus the community still struggles to reproduce their RL training results. This work studies DAPO: An Open-Source LLM Reinforcement Learning System at Scale in the context of reinforcement learning with language-enabled models.","The paper places an LLM inside an RL training or execution loop. This directly targets agent performance in sequential decision tasks, which fits an LLM-in-the-RL-loop survey scope."
Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Base Model?,"Yang Yue, Zhiqi Chen, Rui Lu, Andrew Zhao, Zhaokai Wang, Shiji Song, Gao Huang",2025,ArXiv,10.48550/arxiv.2504.13837,Policy|Reward|CreditAssignment|Exploration|Reasoning|Verifier|Architecture,"Reinforcement Learning with Verifiable Rewards (RLVR) has recently demonstrated notable success in enhancing the reasoning performance of large language models (LLMs), particularly on mathematics and programming tasks. In this study we critically examine the current state of RLVR by systematically probing the reasoning capability boundaries of RLVR-trained LLMs across various model families, RL algorithms, and math, coding, and visual reasoning benchmarks, using. This work studies Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Base Model? in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, credit assignment over long horizons, which fits an LLM-in-the-RL-loop survey scope."
GPG: A Simple and Strong Reinforcement Learning Baseline for Model Reasoning,"Xiangxiang Chu, Hailang Huang, Xiao Zhang, Fei Wei, Yong Wang",2025,ArXiv,10.48550/arxiv.2504.02546,Policy|Reasoning|Verifier|Architecture|HybridRL,"As illustrated in Figure 1, extensive experiments demonstrate that our method not only reduces computational costs but also consistently outperforms GRPO across various unimodal and multimodal tasks. In this work, we revisit the traditional Policy Gradient (PG) mechanism and propose a minimalist RL approach termed Group Policy Gradient (GPG). Our approach achieves superior performance without relying on auxiliary techniques or adjustments.","The paper places an language model policy inside an RL training or execution loop. This directly targets agent performance in sequential decision tasks, which fits an LLM-in-the-RL-loop survey scope."
Group-in-Group Policy Optimization for LLM Agent Training,"Lang Feng, Zhenghai Xue, Tingcong Liu, Bo An",2025,ArXiv,10.48550/arxiv.2505.10978,Policy|Reward|CreditAssignment|ToolUse|Memory|Reasoning|Verifier|Architecture|AgentTraining,"Recent advances in group-based reinforcement learning (RL) have driven frontier large language models (LLMs) in single-turn tasks like mathematical reasoning. In this work, we propose Group-in-Group Policy Optimization (GiGPO), a novel RL algorithm that achieves fine-grained credit assignment for LLM agents while preserving the appealing properties of group-based RL: critic-free, low memory, and stable. This work studies Group-in-Group Policy Optimization for LLM Agent Training in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets credit assignment over long horizons, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Kimi k1.5: Scaling Reinforcement Learning with LLMs,"Kimi Team, Angang Du, Bofei Gao, Bowei Xing, Changjiu Jiang, Cheng Chen, Cheng Li, Chenjun Xiao, Chenzhuang Du, Chonghua Liao, Chuning Tang, Congcong Wang, Dehao Zhang, Enming Yuan, Enzhe Lu, Feng Tang, Flood Sung, Guangda Wei, Guokun Lai, Haiqing Guo, Han Zhu, Haochen Ding, Hao-Xing Hu, Haoming Yang, Hao Zhang, Haotian Yao, Hao-Dong Zhao, Haoyu Lu, Haoze Li, Haozhen Yu, Hongcheng Gao, Huabin Zheng, Huan Yuan, Jia Chen, Jia-Xing Guo, Jianling Su, Jianzhou Wang, Jie Zhao, Jin Zhang, Jingyuan Liu, Junjie Yan, Junyan Wu, Li-Na Shi, Li-Tao Ye, Long Yu, Meng-xiao Dong, Neo Y. Zhang, Ningchen Ma, Qi Pan, Qucheng Gong, Shaowei Liu, Shen Ma, Shu-Yan Wei, Sihan Cao, Si-Da Huang, Tao Jiang, Wei-Wei Gao, Weiming Xiong, Weiran He, Weixiao Huang, Wenhao Wu, Wen He, Xian-sen Wei, Xian-Xian Jia, Xingzhe Wu, Xinran Xu, Xinxing Zu, Xinyu Zhou, Xue-biao Pan, Y. Charles, Yang Li, Yan-Ling Hu, Yangyang Liu, Yanru Chen, Ye-Jia Wang, Yibo Liu, Yidao Qin, Yifeng Liu, Yingbo Yang, Yiping Bao, Yulun Du, Yuxin Wu, Yuzhi Wang, Zaida Zhou, Zhaoji Wang, Zhaowei Li, Zhengxin Zhu, Zheng Zhang, Zhexu Wang, Zhilin Yang, Zhiqi Huang, Zihao Huang, Ziya Xu, Zonghan Yang",2025,ArXiv,10.48550/arxiv.2501.12599,Policy|Reward|Exploration|Reasoning|TreeSearch|Verifier|Architecture,"Long context scaling and improved policy optimization methods are key ingredients of our approach, which establishes a simplistic, effective RL framework without relying on more complex techniques such as Monte Carlo tree search, value functions,. Scaling reinforcement learning (RL) unlocks a new axis for the continued improvement of artificial intelligence, with the promise that large language models (LLMs) can scale their training data by learning to explore with rewards. This work studies Kimi k1.5: Scaling Reinforcement Learning with LLMs in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
