Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Evidence_Sources,Verification_URL
A Unified Framework for Rethinking Policy Divergence Measures in GRPO,"Qingyuan Wu, Yuhui Wang, Simon Sinong Zhan, Yanning Dai, Shilong Deng, Sarra Habchi, Qi Zhu, Matthias Gallé, Chao Huang",2026,ArXiv,arXiv:2602.05494v2,Policy|Reward|Exploration|Reasoning|Verifier|Architecture,"This work addresses Reinforcement Learning with Verified Reward (RLVR) has emerged as a critical paradigm for advancing the reasoning capabilities of Large Language Models (LLMs). It proposes Most existing RLVR methods, such as GRPO and its variants, ensure stable updates by constraining policy divergence through clipping likelihood ratios. The evaluation reports that Empirical results on mathematical reasoning benchmarks demonstrate that incorporating the KL3 estimator into GRPO improves both training stability and final performance, highlighting the importance of principled policy divergence constraints in policy optimization. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.05494v2
AceGRPO: Adaptive Curriculum Enhanced Group Relative Policy Optimization for Autonomous Machine Learning Engineering,"Yuzhu Cai, Zexi Liu, Xinyu Zhu, Cheng Wang, Jiaao Chen, Hanrui Wang, Wei-Chen Wang, Di Jin, Siheng Chen",2026,ArXiv,arXiv:2602.07906v1,Policy|Curriculum|LanguageConditioning|Architecture,"This work addresses Autonomous Machine Learning Engineering (MLE) requires agents to perform sustained, iterative optimization over long horizons. It proposes Recognizing these challenges, we propose AceGRPO with two core components: (1) Evolving Data Buffer that continuously repurposes execution traces into reusable training tasks, and (2) Adaptive Sampling guided by a Learnability Potential function, which dynamically prioritizes tasks at the agent's learning frontier to maximize learning efficiency. The evaluation reports that Leveraging AceGRPO, our trained Ace-30B model achieves a 100% valid submission rate on MLE-Bench-Lite, approaches the performance of proprietary frontier models, and outperforms larger open-source baselines (e.g., DeepSeek-V3.2), demonstrating robust capability for sustained iterative optimization. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.07906v1
Adaptive Uncertainty-Aware Tree Search for Robust Reasoning,"Zeen Song, Zihao Ma, Wenwen Qiang, Changwen Zheng, Gang Hua",2026,ArXiv,arXiv:2602.06493v1,Policy|Reward|Reasoning|TreeSearch|Verifier|Architecture,This work addresses Inference-time reasoning scaling has significantly advanced the capabilities of Large Language Models (LLMs) in complex problem-solving. It proposes A prevalent approach involves external search guided by Process Reward Models (PRMs). The evaluation reports that Extensive experiments demonstrate that our approach effectively mitigates the impact of OOD errors. The contribution targets RL-agent performance rather than only post-training an LLM.,"The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.06493v1
"After Talking with 1,000 Personas: Learning Preference-Aligned Proactive Assistants From Large-Scale Persona Interactions","Ziyi Xuan, Yiwen Wu, Zhaoyang Yan, Vinod Namboodiri, Yu Yang",2026,ArXiv,arXiv:2602.04000v1,Policy|Reward|DatasetGeneration|Simulation|Architecture,"This work addresses Smart assistants increasingly act proactively, yet mistimed or intrusive behavior often causes users to lose trust and disable these features. It proposes We present a population-to-individual learning framework for preference-aligned proactive assistants that operates under on-device and privacy constraints. The evaluation reports that We evaluate the framework using controlled simulations with 1,000 simulated personas and a human-subject study with 30 participants. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.04000v1
Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents,"Yi Yu, Liuyi Yao, Yuexiang Xie, Qingquan Tan, Jiaqi Feng, Yaliang Li, Libing Wu",2026,ArXiv,arXiv:2601.01885v1,Policy|Planning|Reward|Memory|Reasoning|Verifier|Architecture,"This work addresses Large language model (LLM) agents face fundamental limitations in long-horizon reasoning due to finite context windows, making effective memory management critical. It proposes Existing methods typically handle long-term memory (LTM) and short-term memory (STM) as separate components, relying on heuristics or auxiliary controllers, which limits adaptability and end-to-end optimization. The evaluation reports that Experiments on five long-horizon benchmarks demonstrate that AgeMem consistently outperforms strong memory-augmented baselines across multiple LLM backbones, achieving improved task performance, higher-quality long-term memory, and more efficient context usage. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.01885v1
Agentic Reasoning for Large Language Models,"Tianxin Wei, Ting-Wei Li, Zhining Liu, Xuying Ning, Ze Yang, Jiaru Zou, Zhichen Zeng, Ruizhong Qiu, Xiao Lin, Dongqi Fu, Zihao Li, Mengting Ai, Duo Zhou, Wenxuan Bao, Yunzhe Li, Gaotang Li, Cheng Qian, Yu Wang, Xiangru Tang, Yin Xiao, Liri Fang, Hui Liu, Xianfeng Tang, Yuji Zhang, Chi Wang, Jiaxuan You, Heng Ji, Hanghang Tong, Jingrui He",2026,ArXiv,arXiv:2601.12538v1,Policy|Planning|WorldModel|ToolUse|Memory|Reasoning|Simulation|Curriculum|MultiAgent|Architecture|HybridRL|AgentTraining,"This work addresses Reasoning is a fundamental cognitive process underlying inference, problem-solving, and decision-making. It proposes We further review representative agentic reasoning frameworks across real-world applications and benchmarks, including science, robotics, healthcare, autonomous research, and mathematics. The evaluation reports that We further review representative agentic reasoning frameworks across real-world applications and benchmarks, including science, robotics, healthcare, autonomous research, and mathematics. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.12538v1
ALOE: Action-Level Off-Policy Evaluation for Vision-Language-Action Model Post-Training,"Rushuai Yang, Hecheng Wang, Chiming Liu, Xiaohan Yan, Yunlong Wang, Xuan Du, Shuoyu Yue, Yongcheng Liu, Chuheng Zhang, Lizhe Qi, Yi Chen, Wei Shan, Maoqing Yao",2026,ArXiv,arXiv:2602.12691v1,Policy|Planning|Reward|CreditAssignment|Verifier|Architecture|HybridRL,"This work addresses We study how to improve large foundation vision-language-action (VLA) systems through online reinforcement learning (RL) in real-world settings. It proposes In this paper, we propose ALOE, an action-level off-policy evaluation framework for VLA post-training. The evaluation reports that We study how to improve large foundation vision-language-action (VLA) systems through online reinforcement learning (RL) in real-world settings. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.12691v1
Amortized Reasoning Tree Search: Decoupling Proposal and Decision in Large Language Models,"Zesheng Hong, Jiadong Yu, Hui Pan",2026,ArXiv,arXiv:2602.12846v1,Policy|Reward|Exploration|Reasoning|Simulation|TreeSearch|Verifier|Architecture|HybridRL,"This work addresses Reinforcement Learning with Verifiable Rewards (RLVR) has established itself as the dominant paradigm for instilling rigorous reasoning capabilities in Large Language Models. It proposes To counteract this collapse without discarding the base model's latent diversity, we propose Amortized Reasoning Tree Search (ARTS). The evaluation reports that Extensive experiments on the MATH-500 benchmark demonstrate that ARTS achieves a performance of 74.6% (BoN@16), effectively matching fully fine-tuned policies (74.7%) without modifying the generative backbone. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.12846v1
Any House Any Task: Scalable Long-Horizon Planning for Abstract Human Tasks,"Zhihong Liu, Yang Li, Rengming Huang, Cewu Lu, Panpan Cai",2026,ArXiv,arXiv:2602.12244v1,Policy|Planning|ToolUse|Reasoning|Simulation|LanguageConditioning|Architecture,"This work addresses Open world language conditioned task planning is crucial for robots operating in large-scale household environments. It proposes In this work, we propose Any House Any Task (AHAT), a household task planner optimized for long-horizon planning in large environments given ambiguous human instructions. The evaluation reports that Experiments demonstrate that AHAT achieves significant performance gains over state-of-the-art prompting, planning, and learning methods, particularly in human-style household tasks characterized by brief instructions but requiring complex execution plans. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.12244v1
AT$^2$PO: Agentic Turn-based Policy Optimization via Tree Search,"Zefang Zong, Dingwei Chen, Yang Li, Qi Yi, Bo Zhou, Chengming Li, Bo Qian, Peng Chen, Jie Jiang",2026,ArXiv,arXiv:2601.04767v1,Policy|Reward|CreditAssignment|Exploration|Reasoning|TreeSearch|Verifier|Architecture|HybridRL,"This work addresses LLM agents have emerged as powerful systems for tackling multi-turn tasks by interleaving internal reasoning and external tool interactions. It proposes In this paper, we present AT$^2$PO (Agentic Turn-based Policy Optimization via Tree Search), a unified framework for multi-turn agentic RL that addresses three core challenges: limited exploration diversity, sparse credit assignment, and misaligned policy optimization. The evaluation reports that Experiments across seven benchmarks demonstrate consistent improvements over the state-of-the-art baseline by up to 1.84 percentage points in average, with ablation studies validating the effectiveness of each component. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.04767v1
