Title,Authors,Year,Venue,ArXiv_or_DOI,Why_Borderline,Verification_Provider,Verification_URL,Provenance
Experiential Reinforcement Learning,"Taiwei Shi, Sihao Chen, Bowen Jiang, Linxin Song, Longqi Yang, Jieyu Zhao",2026,ArXiv,arXiv:2602.13949v1,Scope leak markers present: ImproveLLMReasoning,arxiv,https://arxiv.org/abs/2602.13949v1,targeted_search
$\mathcal{X}$-KD: General Experiential Knowledge Distillation for Large Language Models,"Yuang Cai, Yuyu Yuan",2026,ArXiv,arXiv:2602.12674v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.12674v1,papers.csv|pdf_ref|targeted_search
$n$-Musketeers: Reinforcement Learning Shapes Collaboration Among Language Models,"Ryozo Masukawa, Sanggeon Yun, Hyunwoo Oh, SuhgHeon Jeong, Raheeb Hassa, Hanning Chen, Wenjun Huang, Mahdi Imani, Pietro Mercati, Nathaniel D. Bastian, Mohsen Imani",2026,ArXiv,arXiv:2602.09173v1,"Insufficient concrete detail for summary (role=LLM reward module, setting=reward-shaping RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.09173v1,papers.csv|pdf_ref|targeted_search
Abstractive Red-Teaming of Language Model Character,"Nate Rahn, Allison Qi, Avery Griffin, Jonathan Michala, Henry Sleight, Erik Jones",2026,ArXiv,arXiv:2602.12318v1,"Insufficient concrete detail for summary (role=LLM reward module, setting=reward-shaping RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.12318v1,pdf_ref|targeted_search
Agent World Model: Infinity Synthetic Environments for Agentic Reinforcement Learning,"Zhaoyang Wang, Canwen Xu, Boyi Liu, Yite Wang, Siwei Han, Zhewei Yao, Huaxiu Yao, Yuxiong He",2026,ArXiv,arXiv:2602.10090v2,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.10090v2,pdf_ref|targeted_search
Agent World Model: Infinity Synthetic Environments for Agentic Reinforcement Learning,"Zhaoyang Wang, Canwen Xu, Boyi Liu, Yite Wang, Siwei Han, Zhewei Yao, Huaxiu Yao, Yuxiong He",2026,ArXiv.org,arXiv:2602.10090,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.10090,pdf_ref|targeted_search
Agent-Omit: Training Efficient LLM Agents for Adaptive Thought and Observation Omission via Agentic Reinforcement Learning,"Yansong Ning, Jun Fang, Naiqiang Tan, Hao Liu",2026,ArXiv,arXiv:2602.04284v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.04284v1,targeted_search
AgentCPM-Explore: Realizing Long-Horizon Deep Exploration for Edge-Scale Agents,"Haotian Chen, Xin Cong, Shengda Fan, Yuyang Fu, Ziqin Gong, Yaxi Lu, Yishan Li, Boye Niu, Chengjun Pan, Zijun Song, Huadong Wang, Yesai Wu, Yueying Wu, Zihao Xie, Yukun Yan, Zhong Zhang, Yankai Lin, Zhiyuan Liu, Maosong Sun",2026,ArXiv,arXiv:2602.06485v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.06485v1,targeted_search
AgentCPM-Report: Interleaving Drafting and Deepening for Open-Ended Deep Research,"Yishan Li, Wentong Chen, Yukun Yan, Mingwei Li, Sen Mei, Xiaorong Wang, Kunpeng Liu, Xin Cong, Shuo Wang, Zhong Zhang, Yaxi Lu, Zhenghao Liu, Yankai Lin, Zhiyuan Liu, Maosong Sun",2026,ArXiv,arXiv:2602.06540v1,"Insufficient concrete detail for summary (role=LLM-guided policy component, setting=policy optimization RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.06540v1,targeted_search
ALOE: Action-Level Off-Policy Evaluation for Vision-Language-Action Model Post-Training,"Rushuai Yang, Hecheng Wang, Chiming Liu, Xiaohan Yan, Yunlong Wang, Xuan Du, Shuoyu Yue, Yongcheng Liu, Chuheng Zhang, Lizhe Qi, Yi Chen, Wei Shan, Maoqing Yao",2026,ArXiv,arXiv:2602.12691v1,Scope leak markers present: PostTraining,arxiv,https://arxiv.org/abs/2602.12691v1,pdf_ref|targeted_search
AnomSeer: Reinforcing Multimodal LLMs to Reason for Time-Series Anomaly Detection,"Junru Zhang, Lang Feng, Haoran Shi, Xu Guo, Han Yu, Yabo Dong, Duanqing Xu",2026,ArXiv,arXiv:2602.08868v1,"Insufficient concrete detail for summary (role=LLM verifier/critic, setting=policy optimization RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.08868v1,targeted_search
Any House Any Task: Scalable Long-Horizon Planning for Abstract Human Tasks,"Zhihong Liu, Yang Li, Rengming Huang, Cewu Lu, Panpan Cai",2026,ArXiv,arXiv:2602.12244v1,Scope leak markers present: GRPO,arxiv,https://arxiv.org/abs/2602.12244v1,targeted_search
Any House Any Task: Scalable Long-Horizon Planning for Abstract Human Tasks,"Zhihong Liu, Yang Li, Rengming Huang, CeWu Lu, Panpan Cai",2026,arXiv (Cornell University),arXiv:2602.12244,Scope leak markers present: GRPO,arxiv,https://arxiv.org/abs/2602.12244,targeted_search
ArenaRL: Scaling RL for Open-Ended Agents via Tournament-based Relative Ranking,"Qiang Zhang, Boli Chen, Fanrui Zhang, Ruixue Ding, Shihang Wang, Qiuchen Wang, Yinfeng Huang, Haonan Zhang, Rongxiang Zhu, Pengyong Wang, Ailin Ren, Xin Li, Pengjun Xie, Jiawei Liu, Ning Guo, Jingren Zhou, Zheng-Jun Zha",2026,ArXiv,arXiv:2601.06487v2,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2601.06487v2,targeted_search
ASTER: Agentic Scaling with Tool-integrated Extended Reasoning,"Xuqin Zhang, Quan He, Zhenrui Zheng, Zongzhang Zhang, Xu He, Dong Li",2026,ArXiv,arXiv:2602.01204v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.01204v1,papers.csv|targeted_search
ASTER: Agentic Scaling with Tool-integrated Extended Reasoning,"Xuqin Zhang, Quan (Sophia) He, Zhenrui Zheng, ZongZhang Zhang, Xu He, Dong Li",2026,ArXiv.org,arXiv:2602.01204,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.01204,papers.csv|targeted_search
AT$^2$PO: Agentic Turn-based Policy Optimization via Tree Search,"Zefang Zong, Dingwei Chen, Yang Li, Qi Yi, Bo Zhou, Chengming Li, Bo Qian, Peng Chen, Jie Jiang",2026,ArXiv,arXiv:2601.04767v1,Scope leak markers present: PostTraining,arxiv,https://arxiv.org/abs/2601.04767v1,targeted_search
"Açık Uçlu Pekiştirmeli Öğrenmede Genelleme Yeteneğini Artırmaya Yönelik, Büyük Dil Modeli Tabanlı Otomatik Müfredat Öğrenimi Çerçevesi",Olca Orakcı,2026,OpenMETU (Middle East Technical University),,Missing canonical ArXiv_or_DOI in verified metadata,openalex,https://openalex.org/W7128755887,targeted_search
Beyond Correctness: Learning Robust Reasoning via Transfer,"Hyunseok Lee, Soheil Abbasloo, Jihoon Tack, Jinwoo Shin",2026,ArXiv,arXiv:2602.08489v1,"Insufficient concrete detail for summary (role=LLM reward module, setting=reward-shaping RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.08489v1,targeted_search
Beyond Correctness: Learning Robust Reasoning via Transfer,"Hyunseok Lee, Soheil Abbasloo, Jihoon Tack, Jinwoo Shin",2026,arXiv (Cornell University),arXiv:2602.08489,"Insufficient concrete detail for summary (role=LLM reward module, setting=reward-shaping RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.08489,targeted_search
Beyond Imitation: Reinforcement Learning-Based Sim-Real Co-Training for VLA Models,"Liangzhi Shi, Shuaihang Chen, Feng Gao, Yinuo Chen, Kang Chen, Tonghe Zhang, Hongzhi Zang, Weinan Zhang, Chao Yu, Yu Wang",2026,ArXiv,arXiv:2602.12628v2,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.12628v2,targeted_search
Beyond Outcome Verification: Verifiable Process Reward Models for Structured Reasoning,"Massimiliano Pronesti, Anya Belz, Yufang Hou",2026,arXiv (Cornell University),arXiv:2601.17223,"Insufficient concrete detail for summary (role=LLM reward module, setting=reward-shaping RL, domain=missing)",arxiv,https://arxiv.org/abs/2601.17223,targeted_search
Beyond Scalar Scores: Reinforcement Learning for Error-Aware Quality Estimation of Machine Translation,"Archchana Sindhujan, Girish A. Koushik, Shenbin Qian, Diptesh Kanojia, Constantin Orăsan",2026,ArXiv,arXiv:2602.08600v1,"Insufficient concrete detail for summary (role=LLM reward module, setting=policy optimization RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.08600v1,targeted_search
Beyond Scalar Scores: Reinforcement Learning for Error-Aware Quality Estimation of Machine Translation,"Archchana Sindhujan, Girish A. Koushik, Shenbin Qian, Diptesh Kanojia, Constantin Orǎsan",2026,arXiv (Cornell University),arXiv:2602.08600,"Insufficient concrete detail for summary (role=LLM reward module, setting=policy optimization RL, domain=missing)",arxiv,https://arxiv.org/abs/2602.08600,targeted_search
Beyond Single-Shot: Multi-step Tool Retrieval via Query Planning,"Wei Fang, James Glass",2026,ArXiv,arXiv:2601.07782v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2601.07782v1,targeted_search
Building Autonomous GUI Navigation via Agentic-Q Estimation and Step-Wise Policy Optimization,"Yibo Wang, Guangda Huzhang, Yuwei Hu, Yu Xia, Shiyin Lu, Qing-Guo Chen, Zhao Xu, Weihua Luo, Kaifu Zhang, Lijun Zhang",2026,ArXiv,arXiv:2602.13653v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.13653v1,targeted_search
Calibrate-Then-Act: Cost-Aware Exploration in LLM Agents,"Wenxuan Ding, Nicholas Tomlin, Greg Durrett",2026,ArXiv,arXiv:2602.16699v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.16699v1,targeted_search
CM2: Reinforcement Learning with Checklist Rewards for Multi-Turn and Multi-Step Agentic Tool Use,"Zhen Zhang, Kaiqiang Song, Xun Wang, Yebowen Hu, Weixiang Yan, Chenyang Zhao, Henry Peng Zou, Haoyun Deng, Sathish Reddy Indurthi, Shujian Liu, Simin Ma, Xiaoyang Wang, Xin Eric Wang, Song Wang",2026,ArXiv,arXiv:2602.12268v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.12268v1,targeted_search
CM2: Reinforcement Learning with Checklist Rewards for Multi-Turn and Multi-Step Agentic Tool Use,"Zhen Zhang, Kaiqiang Song, Xun Wang, Yebowen Hu, Weixiang Yan, Chenyang Zhao, Henry Peng Zou, Haoyun Deng, Sathish Reddy Indurthi, Shujian Liu, Simin Ma, Xiaoyang Wang, Xin Eric Wang, Song Wang",2026,arXiv (Cornell University),arXiv:2602.12268,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.12268,targeted_search
Code2World: A GUI World Model via Renderable Code Generation,"Yuhao Zheng, Li'an Zhong, Yi Wang, Rui Dai, Kaikui Liu, Xiangxiang Chu, Linyuan Lv, Philip Torr, Kevin Qinghong Lin",2026,ArXiv,arXiv:2602.09856v1,Ambiguous directionality or insufficient detail in abstract,arxiv,https://arxiv.org/abs/2602.09856v1,pdf_ref|targeted_search
