Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Verification_Provider,Verification_URL,Verification_Confidence,Provenance
Agentic Reasoning for Large Language Models,"Tianxin Wei, Ting-Wei Li, Zhining Liu, Xuying Ning, Ze Yang, Jiaru Zou, Zhichen Zeng, Ruizhong Qiu, Xiao Lin, Dongqi Fu, Zihao Li, Mengting Ai, Duo Zhou, Wenxuan Bao, Yunzhe Li, Gaotang Li, Cheng Qian, Yu Wang, Xiangru Tang, Yin Xiao, Liri Fang, Hui Liu, Xianfeng Tang, Yuji Zhang, Chi Wang, Jiaxuan You, Heng Ji, Hanghang Tong, Jingrui He",2026,ArXiv,arXiv:2601.12538v1,Policy|Planning|WorldModel|ToolUse|Memory|Reasoning|Simulation|Curriculum|MultiAgent|Architecture|HybridRL|AgentTraining,"In Agentic Reasoning for Large Language Models, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in embodied robotic tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Agentic Reasoning for Large Language Models belongs in scope because its LLM planner contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2601.12538v1,High,papers.csv|prior_core|targeted_search
Improving Data and Reward Design for Scientific Reasoning in Large Language Models,"Zijie Chen, Zhenghao Lin, Xiao Liu, Zhenzhong Lan, Yeyun Gong, Peng Cheng",2026,ArXiv,arXiv:2602.08321v2,Reward|Exploration|DatasetGeneration|Reasoning|Verifier|Curriculum|Architecture|HybridRL,"In Improving Data and Reward Design for Scientific Reasoning in Large Language Models, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Improving Data and Reward Design for Scientific Reasoning in Large Language Models belongs in scope because its LLM reward/feedback module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2602.08321v2,High,papers.csv|pdf_ref|prior_core|targeted_search
Amortized Reasoning Tree Search: Decoupling Proposal and Decision in Large Language Models,"Zesheng Hong, Jiadong Yu, Hui Pan",2026,ArXiv,arXiv:2602.12846v1,Policy|Reward|Exploration|Reasoning|Simulation|TreeSearch|Verifier|Architecture|HybridRL,"In Amortized Reasoning Tree Search: Decoupling Proposal and Decision in Large Language Models, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Amortized Reasoning Tree Search: Decoupling Proposal and Decision in Large Language Models belongs in scope because its LLM reward/feedback module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2602.12846v1,High,papers.csv|prior_core|targeted_search
Entropy-Gated Selective Policy Optimization:Token-Level Gradient Allocation for Hybrid Training of Large Language Models,"Yuelin Hu, Zhengxue Cheng, Wei Liu, Li Song",2026,ArXiv,arXiv:2602.03309v1,Policy|Exploration|Reasoning|Verifier|Architecture,"In Entropy-Gated Selective Policy Optimization:Token-Level Gradient Allocation for Hybrid Training of Large Language Models, the method integrates an LLM-guided policy module into the RL loop rather than using RL solely to tune an LLM. The approach targets exploration and data collection efficiency for agents operating in interactive RL tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Entropy-Gated Selective Policy Optimization:Token-Level Gradient Allocation for Hybrid Training of Large Language Models belongs in scope because its language-conditioned policy module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2602.03309v1,High,papers.csv|prior_core|targeted_search
Kimi k1.5: Scaling Reinforcement Learning with LLMs,"Kimi Team, Angang Du, Bofei Gao, Bowei Xing, Changjiu Jiang, Cheng Chen, Cheng Li, Chenjun Xiao, Chenzhuang Du, Chonghua Liao, Chuning Tang, Congcong Wang, Dehao Zhang, Enming Yuan, Enzhe Lu, Fengxiang Tang, Flood Sung, Guangda Wei, Guokun Lai, Haiqing Guo, Han Zhu, Hao Ding, Hao Hu, Hao Yang, Hao Zhang, Haotian Yao, Haotian Zhao, Haoyu Lu, Haoze Li, Haozhen Yu, Hongcheng Gao, Huabin Zheng, Huan Yuan, Jia Chen, Jianhang Guo, Jianlin Su, Jianzhou Wang, Jie Zhao, Jin Zhang, Jingyuan Liu, Junjie Yan, Junyan Wu, Lidong Shi, Ling Ye, Longhui Yu, Mengnan Dong, Neo Zhang, Ningchen Ma, Qiwei Pan, Qucheng Gong, Shaowei Liu, Shengling Ma, Shupeng Wei, Sihan Cao, Siying Huang, Tao Jiang, Weihao Gao, Weimin Xiong, Weiran He, Weixiao Huang, Weixin Xu, Wenhao Wu, Wenyang He, Xianghui Wei, Xianqing Jia, Xingzhe Wu, Xinran Xu, Xinxing Zu, Xinyu Zhou, Xuehai Pan, Y. Charles, Yang Li, Yangyang Hu, Yangyang Liu, Yanru Chen, Yejie Wang, Yibo Liu, Yidao Qin, Yifeng Liu, Ying Yang, Yiping Bao, Yulun Du, Yuxin Wu, Yuzhi Wang, Zaida Zhou, Zhaoji Wang, Zhaowei Li, Zhen Zhu, Zheng Zhang, Zhexu Wang, Zhilin Yang, Zhiqi Huang, Zihao Huang, Ziyao Xu, Zonghan Yang, Zongyu Lin",2025,ArXiv,arXiv:2501.12599v4,Policy|Reward|Exploration|Reasoning|TreeSearch|Verifier|Architecture,"In Kimi k1.5: Scaling Reinforcement Learning with LLMs, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Kimi k1.5: Scaling Reinforcement Learning with LLMs belongs in scope because its LLM reward/feedback module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2501.12599v4,High,papers.csv
Process Reinforcement through Implicit Rewards,"Ganqu Cui, Lifan Yuan, Zefan Wang, Hanbin Wang, Yuchen Zhang, Jiacheng Chen, Wendi Li, Bingxiang He, Yuchen Fan, Tianyu Yu, Qixin Xu, Weize Chen, Jiarui Yuan, Huayu Chen, Kaiyan Zhang, Xingtai Lv, Shuo Wang, Yuan Yao, Xu Han, Hao Peng, Yu Cheng, Zhiyuan Liu, Maosong Sun, Bowen Zhou, Ning Ding",2025,ArXiv,arXiv:2502.01456v2,Policy|Reward|CreditAssignment|Reasoning|Verifier|Architecture,"In Process Reinforcement through Implicit Rewards, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Process Reinforcement through Implicit Rewards belongs in scope because its LLM reward/feedback module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2502.01456v2,High,papers.csv
ConceptBot: Enhancing Robot's Autonomy through Task Decomposition with Large Language Models and Knowledge Graph,"Alessandro Leanza, Angelo Moroncelli, Giuseppe Vizzari, Francesco Braghin, Loris Roveda, Blerina Spahiu",2025,ArXiv,arXiv:2509.00570v1,Policy|Planning|Reasoning|Simulation|LanguageConditioning|Architecture,"In ConceptBot: Enhancing Robot's Autonomy through Task Decomposition with Large Language Models and Knowledge Graph, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","ConceptBot: Enhancing Robot's Autonomy through Task Decomposition with Large Language Models and Knowledge Graph belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2509.00570v1,High,papers.csv|targeted_search
Group-in-Group Policy Optimization for LLM Agent Training,"Lang Feng, Zhenghai Xue, Tingcong Liu, Bo An",2025,ArXiv,arXiv:2505.10978v3,Policy|Reward|CreditAssignment|Memory|Reasoning|Verifier|Architecture|AgentTraining,"In Group-in-Group Policy Optimization for LLM Agent Training, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in web and tool-interaction tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Group-in-Group Policy Optimization for LLM Agent Training belongs in scope because its LLM reward/feedback module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2505.10978v3,High,papers.csv|prior_core
OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,"Mengkang Hu, Yuhang Zhou, Wendong Fan, Yuzhou Nie, Bowei Xia, Tao Sun, Ziyu Ye, Zhaoxuan Jin, Yingru Li, Qiguang Chen, Zeyu Zhang, Yifeng Wang, Qianshuo Ye, Bernard Ghanem, Ping Luo, Guohao Li",2025,ArXiv,arXiv:2505.23885v2,Policy|Planning|CreditAssignment|Verifier|MultiAgent|Architecture,"In OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets long-horizon credit assignment for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2505.23885v2,High,papers.csv
Beyond the 80/20 Rule: High-Entropy Minority Tokens Drive Effective Reinforcement Learning for LLM Reasoning,"Shenzhi Wang, Le Yu, Chang Gao, Chujie Zheng, Shixuan Liu, Rui Lu, Kai Dang, Xionghui Chen, Jianxin Yang, Zhenru Zhang, Yuqiong Liu, An Yang, Andrew Zhao, Yang Yue, Shiji Song, Bowen Yu, Gao Huang, Junyang Lin",2025,ArXiv,arXiv:2506.01939v2,Policy|Reward|Exploration|Reasoning|Verifier|Architecture,"In Beyond the 80/20 Rule: High-Entropy Minority Tokens Drive Effective Reinforcement Learning for LLM Reasoning, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Beyond the 80/20 Rule: High-Entropy Minority Tokens Drive Effective Reinforcement Learning for LLM Reasoning belongs in scope because its LLM reward/feedback module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2506.01939v2,High,papers.csv
