Raw_Title,Raw_ArXiv_or_DOI,Source_File,Issue,Notes
$\mathcal{X}$-KD: General Experiential Knowledge Distillation for Large Language Models,arXiv:2602.12674v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
$n$-Musketeers: Reinforcement Learning Shapes Collaboration Among Language Models,arXiv:2602.09173v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
3D Mapping with Semantic Knowledge,10.1007/11780519_30,citation_expansion,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
"<i>Cistanche deserticola</i> Y. C. Ma, ""Desert Ginseng"": A Review",10.1142/s0192415x12500838,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
A regulator stabilization technique: Kumar-Seidman revisited,10.1109/9.273366,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
A Sober Look at Progress in Language Model Reasoning: Pitfalls and Paths to Reproducibility,arXiv:2504.07086v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
A Survey of Reinforcement Learning Informed by Natural Language,arXiv:1906.03926v1,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
A Survey of WebAgents: Towards Next-Generation AI Agents for Web Automation with Large Foundation Models,10.1145/3711896.3736555,citation_expansion,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
A Survey on Curriculum Learning,10.1109/tpami.2021.3069908,citation_expansion,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
A Survey on the Memory Mechanism of Large Language Model based Agents,arXiv:2404.13501v1,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
A Unified Continual Learning Framework with General Parameter-Efficient Tuning,10.1109/iccv51070.2023.01055,pdf_ref,Irrelevant_or_unclear_scope,Missing clear LLM+RL context
ABBEL: LLM Agents Acting through Belief Bottlenecks Expressed in Language,arXiv:2512.20111v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Abstractive Red-Teaming of Language Model Character,arXiv:2602.12318v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Achieving Olympia-Level Geometry Large Language Model Agent via Complexity Boosting Reinforcement Learning,arXiv:2512.10534v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
Active Example Selection for In-Context Learning,arXiv:2211.04486v1,papers.csv,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
AdaReasoner: Dynamic Tool Orchestration for Iterative Visual Reasoning,arXiv:2601.18631v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient RL-loop contribution detail
