Raw_Title,Raw_ArXiv_or_DOI,Source,Issue,Notes
A Closer Look at Reward Decomposition for High-Level Robotic Explanations,10.1109/icdl55364.2023.10364407,pdf_ref,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
"A Comprehensive Survey on Multi-Agent Cooperative Decision-Making: Scenarios, Approaches, Challenges and Perspectives",10.2139/ssrn.5106265,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
A Generalized Algorithm for Multi-Objective Reinforcement Learning and Policy Adaptation,arXiv:1908.08342,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Survey of Multi-Task Deep Reinforcement Learning,10.3390/electronics9091363,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Survey of Reinforcement Learning Informed by Natural Language,arXiv:1906.03926v1,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Survey of Reinforcement Learning Informed by Natural Language,10.24963/ijcai.2019/880,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
A Survey of WebAgents: Towards Next-Generation AI Agents for Web Automation with Large Foundation Models,10.1145/3711896.3736555,citation_expand,Irrelevant_or_unclear_scope,Survey without clear method-level RL-loop contribution
A survey on large language model based autonomous agents,10.1007/s11704-024-40231-1,pdf_ref,Irrelevant_or_unclear_scope,Survey without clear method-level RL-loop contribution
A Survey on Multimodal Large Language Models for Autonomous Driving,10.1109/wacvw60836.2024.00106,citation_expand,Irrelevant_or_unclear_scope,Survey without clear method-level RL-loop contribution
"A Survey on Recent Advancements in Autonomous Driving Using Deep Reinforcement Learning: Applications, Challenges, and Solutions",10.1109/tits.2024.3452480,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
A Survey on the Memory Mechanism of Large Language Model based Agents,arXiv:2404.13501v1,pdf_ref,Irrelevant_or_unclear_scope,Survey without clear method-level RL-loop contribution
A Unified Continual Learning Framework with General Parameter-Efficient Tuning,10.1109/iccv51070.2023.01055,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Accelerating Reinforcement Learning of Robotic Manipulations via Feedback from Large Language Models,arXiv:2311.02379,pdf_ref,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Achieving Olympia-Level Geometry Large Language Model Agent via Complexity Boosting Reinforcement Learning,arXiv:2512.10534v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Acquiring musculoskeletal skills with curriculum-based reinforcement learning,10.1016/j.neuron.2024.09.002,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
Active Example Selection for In-Context Learning,arXiv:2211.04486v1,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Adapt2Reward: Adapting Video-Language Models to Generalizable Robotic Rewards via Failure Prompts,10.1007/978-3-031-72998-0_10,citation_expand,Irrelevant_or_unclear_scope,No clear RL or sequential decision context
"After Talking with 1,000 Personas: Learning Preference-Aligned Proactive Assistants From Large-Scale Persona Interactions",arXiv:2602.04000v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
"Agent Skills for Large Language Models: Architecture, Acquisition, Security, and the Path Forward",arXiv:2602.12430v3,targeted_search,Irrelevant_or_unclear_scope,Survey without clear method-level RL-loop contribution
"Agent Skills for Large Language Models: Architecture, Acquisition, Security, and the Path Forward",arXiv:2602.12430,targeted_search,Irrelevant_or_unclear_scope,Survey without clear method-level RL-loop contribution
AgentMath: Empowering Mathematical Reasoning for Large Language Models via Tool-Augmented Agent,arXiv:2512.20745v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Are More Tokens Rational? Inference-Time Scaling in Language Models as Adaptive Resource Rationality,arXiv:2602.10329v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
ASTRA: Automated Synthesis of agentic Trajectories and Reinforcement Arenas,arXiv:2601.21558v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
ASTRA: Automated Synthesis of agentic Trajectories and Reinforcement Arenas,arXiv:2601.21558,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
AudioRouter: Data Efficient Audio Understanding via RL based Dual Reasoning,arXiv:2602.10439v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning,arXiv:2602.13685v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Auto MC-Reward: Automated Dense Reward Design with Large Language Models for Minecraft,10.1109/cvpr52733.2024.01554,pdf_ref,Irrelevant_or_unclear_scope,No clear RL or sequential decision context
AWPO: Enhancing Tool-Use of Large Language Models through Adaptive Integration of Reasoning Rewards,arXiv:2512.19126v3,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
"Benchmark Evaluations, Applications, and Challenges of Large Vision Language Models: A Survey",10.32388/gxr68q,citation_expand,Irrelevant_or_unclear_scope,Survey without clear method-level RL-loop contribution
Beyond Correctness: Rewarding Faithful Reasoning in Retrieval-Augmented Generation,arXiv:2510.13272,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Beyond Words: Evaluating and Bridging Epistemic Divergence in User-Agent Interaction via Theory of Mind,arXiv:2602.13832v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Beyond Words: Evaluating and Bridging Epistemic Divergence in User-Agent Interaction via Theory of Mind,arXiv:2602.13832,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
BinaryPPO: Efficient Policy Optimization for Binary Classification,arXiv:2602.02708v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
BinaryPPO: Efficient Policy Optimization for Binary Classification,arXiv:2602.02708,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Can Multimodal Large Language Models Enhance Performance Benefits Among Higher Education Students? An Investigation Based on the Task-Technology Fit Theory and the Artificial Intelligence Device Use Acceptance Model,10.3390/su162310780,citation_expand,Irrelevant_or_unclear_scope,No clear RL or sequential decision context
Can vision language models learn intuitive physics from interaction?,arXiv:2602.06033v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Chart Specification: Structural Representations for Incentivizing VLM Reasoning in Chart-to-Code Generation,arXiv:2602.10880v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Competitive Programming with Large Reasoning Models,arXiv:2502.06807v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Composition-RL: Compose Your Verifiable Prompts for Reinforcement Learning of Large Language Models,arXiv:2602.12036v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Constrained Decision Transformer for Offline Safe Reinforcement Learning,arXiv:2302.07351,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Constraints Penalized Q-learning for Safe Offline Reinforcement Learning,10.1609/aaai.v36i8.20855,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
COptiDICE: Offline Constrained Reinforcement Learning via Stationary Distribution Correction Estimation,arXiv:2204.08957v1,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
CoRAL: Collaborative Retrieval-Augmented Large Language Models Improve Long-tail Recommendation,10.1145/3637528.3671901,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
CosmoCore-Evo: Evolutionary Dream-Replay Reinforcement Learning for Adaptive Code Generation,arXiv:2512.21351v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Crossing the Reward Bridge: Expanding RL with Verifiable Rewards Across Diverse Domains,arXiv:2503.23829v2,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
CURL: Contrastive Unsupervised Representations for Reinforcement Learning,arXiv:2004.04136,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
D4RL: Datasets for Deep Data-Driven Reinforcement Learning,arXiv:2004.07219v4,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Data-Efficient Reinforcement Learning with Self-Predictive Representations,arXiv:2007.05929v4,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
"DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries",arXiv:2404.00188v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
DataChef: Cooking Up Optimal Data Recipes for LLM Adaptation via Reinforcement Learning,arXiv:2602.11089v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Decoupling Representation Learning from Reinforcement Learning,arXiv:2009.08319,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Deductive Reinforcement Learning for Visual Autonomous Urban Driving Navigation,10.1109/tnnls.2021.3109284,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
DeepSport: A Multimodal Large Language Model for Comprehensive Sports Video Reasoning via Agentic Reinforcement Learning,arXiv:2511.12908v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
DeRL: Coupling Decomposition in Action Space for Reinforcement Learning Task,10.1109/tetci.2023.3326551,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Discovery and Reinforcement of Tool-Integrated Reasoning Chains via Rollout Trees,arXiv:2601.08274v2,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Do MLLMs Really See It: Reinforcing Visual Attention in Multimodal LLMs,arXiv:2602.08241v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Document Reconstruction Unlocks Scalable Long-Context RLVR,arXiv:2602.08237v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Dota 2 with Large Scale Deep Reinforcement Learning,arXiv:1912.06680v1,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Dream to Control: Learning Behaviors by Latent Imagination,arXiv:1912.01603,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
DriveGPT4: Interpretable End-to-End Autonomous Driving Via Large Language Model,10.1109/lra.2024.3440097,citation_expand,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
DrugR: Optimizing Molecular Drugs through LLM-based Explicit Reasoning,arXiv:2602.08213v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
ECG-R1: Protocol-Guided and Modality-Agnostic MLLM for Reliable ECG Interpretation,arXiv:2602.04279v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Efficient Estimation of Kernel Surrogate Models for Task Attribution,arXiv:2602.03783v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Efficient Multi-Task Reinforcement Learning via Task-Specific Action Correction,arXiv:2404.05950v1,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Efficient Prompting via Dynamic In-Context Learning,arXiv:2305.11170v1,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
EGG-SR: Embedding Symbolic Equivalence into Symbolic Regression via Equality Graph,arXiv:2511.05849,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
ELLA: Exploration through Learned Language Abstraction,arXiv:2103.05825,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
Embodied Multi-Modal Agent trained by an LLM from a Parallel TextWorld,10.1109/cvpr52733.2024.02482,citation_expand,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Emergent language: a survey and taxonomy,10.1007/s10458-025-09691-y,citation_expand,Irrelevant_or_unclear_scope,No clear LLM signal
End-to-End Robotic Reinforcement Learning without Reward Engineering,arXiv:1904.07854v2,pdf_ref,Irrelevant_or_unclear_scope,No clear LLM signal
EnvScaler: Scaling Tool-Interactive Environments for LLM Agent via Programmatic Synthesis,arXiv:2601.05808v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Evaluating and Enhancing the Vulnerability Reasoning Capabilities of Large Language Models,arXiv:2602.06687v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Evaluating and Enhancing the Vulnerability Reasoning Capabilities of Large Language Models,arXiv:2602.06687,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Evolution Through Large Models,10.1007/978-981-99-3814-8_11,papers.csv,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
Evolutionary System Prompt Learning can Facilitate Reinforcement Learning for LLMs,arXiv:2602.14697v1,targeted_search,Irrelevant_or_unclear_scope,Insufficient evidence for LLM-to-RL contribution
