Title,Authors,Year,Venue,ArXiv_or_DOI,Primary_Reason_Excluded,Verification_Provider,Verification_URL,Provenance
"After Talking with 1,000 Personas: Learning Preference-Aligned Proactive Assistants From Large-Scale Persona Interactions","Ziyi Xuan, Yiwen Wu, Zhaoyang Yan, Vinod Namboodiri, Yu Yang",2026,ArXiv,arXiv:2602.04000v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.04000v1,prior_core|targeted_search
Alignment-Induced Flattening in Large Language Models: A 33-Item Reading Comprehension Measure of Atypical Perspective-Taking Across Five Model Families,Shamim Khaliq,2026,,10.21203/rs.3.rs-8879713/v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,openalex,https://openalex.org/W7129201286,papers.csv|pdf_ref|targeted_search
ALOE: Action-Level Off-Policy Evaluation for Vision-Language-Action Model Post-Training,"Rushuai Yang, Hecheng Wang, Chiming Liu, Xiaohan Yan, Yunlong Wang, Xuan Du, Shuoyu Yue, Yongcheng Liu, Chuheng Zhang, Lizhe Qi, Yi Chen, Wei Shan, Maoqing Yao",2026,ArXiv,arXiv:2602.12691v1,Title indicates RL-for-LLM alignment/post-training focus,arxiv,https://arxiv.org/abs/2602.12691v1,pdf_ref|prior_core|targeted_search
"Answer First, Reason Later: Aligning Search Relevance via Mode-Balanced Reinforcement Learning","Shijie Zhang, Xiang Guo, Rujun Guo, Shaoyu Liu, Xiaozhao Wang, Guanjun Jiang, Kevin Zhang",2026,ArXiv,arXiv:2602.10006v1,Primarily RL-based post-training/alignment for LLMs,arxiv,https://arxiv.org/abs/2602.10006v1,targeted_search
Approximation of Log-Partition Function in Policy Mirror Descent Induces Implicit Regularization for LLM Post-Training,"Zhenghao Xu, Qin Lu, Changlong Yu, Tuo Zhao",2026,ArXiv,arXiv:2602.05933v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.05933v1,targeted_search
ASTRA: Automated Synthesis of agentic Trajectories and Reinforcement Arenas,"Xiaoyu Tian, Haotian Wang, Shuaiting Chen, Hao Zhou, Kaichi Yu, Yudian Zhang, Jade Ouyang, Junxi Yin, Jiong Chen, Baoyan Guo, Lei Zhang, Junjie Tao, Yuansheng Song, Ming Cui, Chengwei Liu",2026,ArXiv,arXiv:2601.21558v2,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2601.21558v2,targeted_search
ASTRA: Automated Synthesis of agentic Trajectories and Reinforcement Arenas,"Xiaoyu Tian, Haotian Wang, Shuaiting Chen, Hao Zhou, Kai-Chi Yu, Yudian Zhang, Jade Ouyang, Junxi Yin, Jiong Chen, Baoyan Guo, Lei Zhang, Junjie Tao, Yuansheng Song, Ming Cui, Chengwei Liu",2026,ArXiv.org,arXiv:2601.21558,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2601.21558,targeted_search
Asymmetric Prompt Weighting for Reinforcement Learning with Verifiable Rewards,"Reinhard Heckel, Mahdi Soltanolkotabi, Christos Thramboulidis",2026,ArXiv,arXiv:2602.11128v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.11128v1,targeted_search
Bayesian Preference Learning for Test-Time Steerable Reward Models,"Jiwoo Hong, Shao Tang, Zhipeng Wang",2026,ArXiv,arXiv:2602.08819v1,Primarily LLM post-training/alignment without explicit RL-environment contribution,arxiv,https://arxiv.org/abs/2602.08819v1,targeted_search
Bridging Online and Offline RL: Contextual Bandit Learning for Multi-Turn Code Generation,"Ziru Chen, Dongdong Chen, Ruinan Jin, Yingbin Liang, Yujia Xie, Huan Sun",2026,ArXiv,arXiv:2602.03806v1,RL used primarily to improve LLM behavior,arxiv,https://arxiv.org/abs/2602.03806v1,targeted_search
